,rank,title,artist,other artists,year,Spotify id,Popularity
63,64,Mission Bell,Donnie Brooks,None,1960,12zEAgwHjIQRYNiAAH5UiZ,10
64,65,I Love the Way You Love,Marv Johnson,None,1960,4AtIVBQQbBgeyIzazKhfIy,8
65,66,It's Time to Cry,Paul Anka,None,1960,6dAqyQn8GS2RYRqyP5eKTp,30
66,67,Tell Laura I Love Her,Ray Peterson,None,1960,7JhN1mVlxu5dZzE9QsP0NS,35
67,68,Mama,Connie Francis,None,1960,5htJrzx9BOWrWWuTFRbehY,27
68,69,Footsteps,Steve Lawrence,None,1960,2z1mnBJRjXUpD2RFXRBm2p,39
69,70,So Sad,The Everly Brothers,None,1960,1Eo6eH8Yppywb6nkWDhB1b,32
70,71,That's All You Gotta Do,Brenda Lee,None,1960,1aTHBOr0V8XnbgHSRPyJtg,30
71,72,Walking to New Orleans,Fats Domino,None,1960,5I3hQNKjCwalENrab1SBtt,49
72,73,Among My Souvenirs,Connie Francis,None,1960,1tM2BQzEMJ5f9siQ9ZjM6P,33
73,74,Swingin' School,Bobby Rydell,None,1960,2V0U78Xx4KY843bJbuq586,19
74,75,A Rockin' Good Way (To Mess Around and Fall in Love),Dinah Washington,Brook Benton,1960,4ydSzWwxqtNdP4VPfQe8bf,45
75,76,Stairway to Heaven,Neil Sedaka,None,1960,2bHXXAgNA9MMvHE2e6Dgay,35
76,77,My Home Town,Paul Anka,None,1960,75wzEkDy6NnSj692dA99ip,32
77,78,Georgia on My Mind,Ray Charles,None,1960,47mA6f44zxLtdATOoY7GjN,53
78,79,Cherry Pie,Skip,Flip,1960,3ManMR2GV4W6xD9KQnDZHe,18
79,80,Wonderful World,Sam Cooke,None,1960,2g2GkH3vZHk4lWzBjgQ6nY,73
80,81,Tracy's Theme,Spencer Ross,None,1960,5jKFMN9GPbzXVUdg1Ub4GC,0
81,82,Lady Luck,Lloyd Price,None,1960,2MWxpIwgwY4wc4tFs6NyhS,31
82,83,Step by Step,The Crests,None,1960,0aVMQFFqVPpbvoykIABQWO,15
83,84,Happy-Go-Lucky Me,Paul Evans,None,1960,6jZxxO0ZNb8fakRXryav4y,26
84,85,Young Emotions,Ricky Nelson,None,1960,6lDX5Uhl1It298l8hhQpBr,24
85,86,Dreamin',Johnny Burnette,None,1960,3e6DgJHco44VZekE9wz8Wh,44
86,87,Poetry in Motion,Johnny Tillotson,None,1960,2HKafPuzWaKsCzcE3zFOIX,50
87,88,O Dio Mio,Annette Funicello,None,1960,6kFmfcqpy1ok5wfls2yCtZ,12
88,89,You Talk Too Much,Joe Jones,None,1960,6cUIm6LO1lcMfDlBeGa4H4,20
89,90,Beatnik Fly,Johnny,the Hurricanes,1960,3uHrMzdYjAUbINHGTh7M5S,16
90,91,When Will I Be Loved,The Everly Brothers,None,1960,27TC9sT6A3Tr29O9Ya3xWL,32
91,92,Let's Think About Living,Bob Luman,None,1960,2KwHEWuvd2JCWVK0oQyLkf,29
92,93,Heartaches by the Number,Guy Mitchell,None,1960,1KcSPQqbbbBCFyAVmJySst,52
93,94,My Little Corner of the World,Anita Bryant,None,1960,1NAvZNIUfC79QACBJ7qhK0,18
94,95,Doggin' Around,Jackie Wilson,None,1960,1uXopyJyRjXsjFtlAXhMd4,28
95,96,Little Bitty Girl,Bobby Rydell,None,1960,0ZqhPLdc7yEv6iADB7no3F,27
96,97,Money (That's What I Want),Barrett Strong,None,1960,5ygqNg50ux6hm9YEbkriWS,49
97,98,Stay,Maurice Williams,the Zodiacs,1960,5R2DZitRTDYtrkCoJiddct,57
98,99,Lonely Weekends,Charlie Rich,None,1960,7FOHypk9d7fS6k3KTBnLvj,24
99,100,Sandy,Larry Hall,None,1960,7vF9CfYTUiif1wHSFdrTyN,13
100,1,Tossin' and Turnin',Bobby Lewis,None,1961,79s3pSe1u6ggQBEwVPm58Z,47
101,2,I Fall to Pieces,Patsy Cline,None,1961,6zFsz86nAj5gcvzyVqNL3k,64
102,3,Michael,The Highwaymen,None,1961,5pgq6Pzyr8iF2Rs7vzC1nd,5
103,4,Crying,Roy Orbison,None,1961,6eLL7QTdMWdhhG4i3jHDR9,62
104,5,Runaway,Del Shannon,None,1961,45Szkclj1lt4ubm7RFK68t,62
105,6,My True Story,The Jive Five,None,1961,1paWReMsPIqKGEOxdlHT2D,44
106,7,Pony Time,Chubby Checker,None,1961,2XPEv2sB6c44DSocT2TwAc,34
107,8,Wheels,The String-A-Longs,None,1961,789lq0oHhOa4pHh2y9rjkN,38
108,9,Raindrops,Dee Clark,None,1961,6CqTD9nWwf8R1yPVkIVdF5,25
109,10,Wooden Heart,Joe Dowell,None,1961,2ELAMT68a78OGwhCgj9Kai,21
110,11,Calcutta,Lawrence Welk,None,1961,1iXx0IlX5j33jyumZjBWU4,16
111,12,Take Good Care of My Baby,Bobby Vee,None,1961,1MR7XamWS0XH6vZxeeRdE0,59
112,13,Running Scared,Roy Orbison,None,1961,6sbj89WozjblBMa5u41orw,47
113,14,Dedicated to the One I Love,The Shirelles,None,1961,36f5xtZ2CXIc1WOirnnD3j,44
114,15,Last Night,The Mar-Keys,None,1961,7H22uQMwKWl43uagzO4Pnn,38
115,16,Will You Love Me Tomorrow,The Shirelles,None,1961,0bwy3sGHeYwng2Ioicq6wf,63
116,17,Exodus,Ferrante,Teicher,1961,7MIzIo0Z9S8zmBiXdGwOeS,16
117,18,Where the Boys Are,Connie Francis,None,1961,70UvKFI48DAQ2suS58bu5l,49
118,19,Hit the Road Jack,Ray Charles,None,1961,5yQFVCQkupKqTJecbXA7qT,56
119,20,Sad Movies (Make Me Cry),Sue Thompson,None,1961,5PYEBQrRHWoMuRr5Ers9vR,40
120,21,Mother-in-Law,Ernie K-Doe,None,1961,39h384i9hij2H9Qtl9XUuu,32
121,22,Bristol Stomp,The Dovells,None,1961,0B1cm1Z7J9v8Wug9idr8T6,39
122,23,Travelin' Man,Ricky Nelson,None,1961,1sM0yZDxUhPQhkDh2CLd6l,59
123,24,Shop Around,The Miracles,None,1961,47IRIQxGDe2Sc6F4pe2FMf,52
124,25,The Boll Weevil Song,Brook Benton,None,1961,5gCkto8RSjGPynLo3GjOk0,22
125,26,A Hundred Pounds of Clay,Gene McDaniels,None,1961,4s9qKAu0wMyIWVUB7Cuv3j,36
126,27,The Mountain's High,Dick,Dee Dee,1961,0YVlMTY2kaQc2fxu2ezlI6,31
127,28,Don't Worry,Marty Robbins,None,1961,0dPfKBYyPmoSfoLJqeKAs4,48
128,29,On the Rebound,Floyd Cramer,None,1961,2vdjYcYAmectRUOiR9Blk3,32
129,30,Portrait of My Love,Steve Lawrence,None,1961,6csU5EvfcRi2NNoOwNVg8A,35
130,31,Quarter to Three,Gary U.S. Bonds,None,1961,7aHn8rGeEGkDkQiUV0DpW1,37
131,32,"Who Put the Bomp (in the Bomp, Bomp, Bomp)",Barry Mann,None,1961,30txFxKhnMJqUXz0xx0x39,43
132,33,Calendar Girl,Neil Sedaka,None,1961,7Gpx2fNJiilvrf9Ss8qbit,54
133,34,I Like It Like That,Chris Kenner,None,1961,5wIxMTfyrSEx4w1MxaM96c,35
134,35,Apache,JÃ¸rgen Ingmann,None,1961,0FKNRNN2mcY9dBjenoxbeY,34
135,36,Don't Bet Money Honey,Linda Scott,None,1961,59HLIw9889P6VHYpdxwZ6r,2
136,37,Without You,Johnny Tillotson,None,1961,5HbuNDquUjgOoJIozrdayL,30
137,38,Wings of a Dove,Ferlin Husky,None,1961,31vF1iGX0S3Dtv0rQfEksJ,43
138,39,Little Sister,Elvis Presley,None,1961,5jRnmQJAwBbtikNcvYbp3B,57
139,40,Blue Moon,The Marcels,None,1961,75ewj77lCHHLKOlyx5KvGw,45
140,41,Daddy's Home,Shep,the Limelites,1961,2Vr3XMnJyu60xBUUchWUrI,44
141,42,This Time,Troy Shondell,None,1961,4dfn4XrQIUAgUU96Ag1Ref,20
142,43,(I Don't Know Why) But I Do,"Clarence ""Frogman"" Henry",None,1961,1a9EyBydOYhE7SGSodUIjP,54
143,44,Asia Minor,Kokomo,None,1961,4uNAdFLTuiIhDtbZsq31Og,17
144,45,Hello Walls,Faron Young,None,1961,4dim8F8t01qimHOmr6S3Gd,56
145,46,Runaround Sue,Dion,None,1961,1DndHckdH9m5rp6gYP086b,65
146,47,Yellow Bird,Arthur Lyman,None,1961,7uJQUtgOzvSlVM3oyY012O,44
147,48,Hurt,Timi Yuro,None,1961,6mqfq8EdYoV07TXM2rgPgb,49
148,49,Hello Mary Lou,Ricky Nelson,None,1961,6ImmlZj8ysK2jDnqqbKp60,60
149,50,There's a Moon Out Tonight,The Capris,None,1961,1BILDfIiSgFh6MvLHjq1Jo,43
150,51,Surrender,Elvis Presley,None,1961,366wRPrx2airjcCRkxgoS2,54
151,52,I Love How You Love Me,The Paris Sisters,None,1961,4UEWbycxYnl9KkrCl9nXwH,41
152,53,Ya Ya,Lee Dorsey,None,1961,2pMwweGkjNLXZkSDZ63LYf,39
153,54,School Is Out,Gary U.S. Bonds,None,1961,01GarP7Iim3fsxASclkEFW,16
154,55,Mexico,Bob Moore,None,1961,3Rf03HXu9jgcCtCtT2oT4p,15
155,56,You Don't Know What You've Got (Until You Lose It),Ral Donner,None,1961,7b5CaZGoxF5rth1jBITajb,12
156,57,Walk Right Back,The Everly Brothers,None,1961,3NUXLtK8UGdD8TvZ12b4dD,53
