,rank,title,artist,other artists,year,Spotify id,Popularity
1360,60,Ain't No Woman (Like the One I've Got),The Four Tops,None,1973,6q8NBpF6twALMb86FBpLgQ,54
1361,61,Dueling Banjos,Eric Weissberg,Steve Mandell,1973,3iWC6AAzEB0Yh3m6Airvym,0
1362,62,Higher Ground,Stevie Wonder,None,1973,0dMd4rilfd6gPbXaLpNYhu,66
1363,63,Here I Am (Come and Take Me),Al Green,None,1973,20wu6USlvWRghMOvUdfLgE,50
1364,64,My Maria,B.W. Stevenson,None,1973,6EA8NmWd3l9C6ycQfbEOnS,49
1365,65,Superfly,Curtis Mayfield,None,1973,4XsH9zBWPOCdXoH9ZDdS8r,56
1366,66,Last Song,Edward Bear,None,1973,7cbYx1iSCstX5W0YkKDK0c,42
1367,67,Get Down,Gilbert O'Sullivan,None,1973,4GjIIjBM20NhaBrvQKkQ5I,32
1368,68,Reelin' in the Years,Steely Dan,None,1973,1I7zHEdDx8Ny5RxzYPqsU2,73
1369,69,Hocus Pocus,Focus,None,1973,2uzyiRdvfNI5WxUiItv1y9,55
1370,70,Yesterday Once More,The Carpenters,None,1973,0fVdRn4g08uO5uvo952cdu,6
1371,71,Boogie Woogie Bugle Boy,Bette Midler,None,1973,7MuMALGZV3KhVA9AS9TFup,43
1372,72,Clair,Gilbert O'Sullivan,None,1973,1lYJDRaadnotdfcZFp5Izd,40
1373,73,Do It Again,Steely Dan,None,1973,2BstRQGodshjGpeDGQiNgo,73
1374,74,Kodachrome,Paul Simon,None,1973,3f0U5NaD1bCk8nmKpn2ZJY,63
1375,75,Why Can't We Live Together,Timmy Thomas,None,1973,722E6CPY8biq4sUnf40u6Y,51
1376,76,Do You Wanna Dance?,Bette Midler,None,1973,23QbvV3f6ci46m7fQeOJFq,7
1377,77,So Very Hard to Go,Tower of Power,None,1973,55iDwZfpaU7ytsadT7BDVE,50
1378,78,Rockin' Pneumonia and the Boogie Woogie Flu,Johnny Rivers,None,1973,20OVbaIrsu70Qab39PsE3X,47
1379,79,Ramblin' Man,The Allman Brothers Band,None,1973,6g3ZNXYZ3eDyNO2DB7O84T,3
1380,80,Masterpiece,The Temptations,None,1973,4gAsVttMY36zJUCa7FYoJN,51
1381,81,Peaceful,Helen Reddy,None,1973,1YNCi9tPJffDJHNc6at129,36
1382,82,One of a Kind (Love Affair),The Spinners,None,1973,3LV2CK8sJiYjg1bV1aHQop,41
1383,83,Funny Face,Donna Fargo,None,1973,27145diX1C7BE6m6FzONqb,32
1384,84,Funky Worm,Ohio Players,None,1973,6j6zSLwHRvHpfGCnZ0z55v,46
1385,85,Angie,The Rolling Stones,None,1973,1GcVa4jFySlun4jLSuMhiq,76
1386,86,Jambalaya (On the Bayou),Blue Ridge Rangers,None,1973,1R9PClOz43Ldu8PgFtEiEx,0
1387,87,Don't Expect Me to Be Your Friend,Lobo,None,1973,0v0QYvAbQ42BhCMnUYQ5Sw,0
1388,88,Break Up to Make Up,The Stylistics,None,1973,3TxCVEadoqOUUxDp9gTh2H,49
1389,89,Daisy a Day,Jud Strunk,None,1973,3kHRGGZA7tniIUfIYgZvlh,0
1390,90,Also Sprach Zarathustra (2001),Deodato,None,1973,6ywm0ilJ9ItgXRDg0yrJP1,14
1391,91,Stir It Up,Johnny Nash,None,1973,4UvXfxg1ommzERwd6JVIHv,40
1392,92,Money,Pink Floyd,None,1973,0vFOzaXqZHahrZp6enQwQb,74
1393,93,Gypsy Man,War,None,1973,5d8RneNSRVKapS8sD8qISf,29
1394,94,The World Is a Ghetto,War,None,1973,0IJPyHBTbGSMPDZHIMYDOF,38
1395,95,Yes We Can Can,The Pointer Sisters,None,1973,7FpGAivMuzzBcnOlHZnouD,38
1396,96,Free Ride,The Edgar Winter Group,None,1973,4DhbiXEuV7JxSR0wuqetTa,60
1397,97,Space Oddity,David Bowie,None,1973,72Z17vmmeQKAg8bptWvpVG,75
1398,98,It Never Rains in Southern California,Albert Hammond,None,1973,6tunhVGD8C05MZNjSVIsjw,65
1399,99,The Twelfth of Never,Donny Osmond,None,1973,74NGDmt0oXeXesxoUGASTz,31
1400,100,Papa Was a Rollin' Stone,The Temptations,None,1973,7MiLmLbwNoyf47xQ4TCVYp,69
1401,1,The Way We Were,Barbra Streisand,None,1974,1vZTgn4JXWMahR8r99ug5H,65
1402,2,Seasons in the Sun,Terry Jacks,None,1974,0X3d9gx7UDYgcwwkgTeNLR,59
1403,3,Love's Theme,Love Unlimited Orchestra,None,1974,5csdrJ0JtFn0qvwlvSh2EI,59
1404,4,Come and Get Your Love,Redbone,None,1974,7GVUmCP00eSsqc4tzj1sDD,79
1405,5,Dancing Machine,The Jackson 5,None,1974,0xqb2Euq1PAxKHBA36NUnx,58
1406,6,The Loco-Motion,Grand Funk Railroad,None,1974,0PxYWaGiwWtcuL1VIMiEW4,51
1407,7,TSOP (The Sound of Philadelphia),MFSB,None,1974,6BEWwyzvc51WyacKoxJX4S,32
1408,8,The Streak,Ray Stevens,None,1974,3HiIBzaoBkOTLmRYkdsusv,46
1409,9,Bennie and the Jets,Elton John,None,1974,5Wj1rJnCLpMHdLaxsFtJLs,75
1410,10,One Hell of a Woman,Mac Davis,None,1974,7Eq6uD4xcTs4Ddmyv6Ttjs,30
1411,11,Until You Come Back to Me (That's What I'm Gonna Do),Aretha Franklin,None,1974,3iX0BMs9dX9CsgrHhiB173,49
1412,12,Jungle Boogie,Kool,the Gang,1974,3K0SJUQNbOkUprTFcwwAKN,66
1413,13,Midnight at the Oasis,Maria Muldaur,None,1974,5VBcEJ4mtXTmVEJtc7hx2g,49
1414,14,You Make Me Feel Brand New,The Stylistics,None,1974,00CCi9yHJh7NjXcNT565Ja,63
1415,15,Show and Tell,Al Wilson,None,1974,2vhW1OmaZDYi63Da9d8R5o,48
1416,16,Spiders and Snakes,Jim Stafford,None,1974,1VREN3iKxfXrN6koXcXWPM,43
1417,17,Rock On,David Essex,None,1974,0uPIwcT6OdJ5BAJdYkxVp9,50
1418,18,Sunshine on My Shoulders,John Denver,None,1974,3m8lTUL5GxGUNSaycI77ND,62
1419,19,Sideshow,Blue Magic,None,1974,0fopVbPW7N5BK0sOybQCq2,51
1420,20,Hooked on a Feeling,Blue Swede,None,1974,6Ac4NVYYl2U73QiTt11ZKd,77
1421,21,Billy Don't Be a Hero,Bo Donaldson,The Heywoods,1974,6ZqgJAbxuEUjazBLN5V0U4,39
1422,22,Band on the Run,Paul McCartney,Wings,1974,0aCwxQS9Okv3683jgntcwA,42
1423,23,The Most Beautiful Girl,Charlie Rich,None,1974,542C7PqR1oEfl63hlhQO4V,59
1424,24,Time in a Bottle,Jim Croce,None,1974,561F1zqRwGPCTMRsLsXVtL,68
1425,25,Annie's Song,John Denver,None,1974,4J0DbyODwZJcmIAiTSJfMF,72
1426,26,Let Me Be There,Olivia Newton-John,None,1974,5aI3ary3TADn6mG4n18FrK,31
1427,27,Sundown,Gordon Lightfoot,None,1974,0SjnBEHZVXgCKvOrpvzL2k,66
1428,28,(You're) Having My Baby,Paul Anka,None,1974,5PuAFxKmqG72uKyoo11zpQ,57
1429,29,Rock Me Gently,Andy Kim,None,1974,2qh2VGAOYFXLsMbdATRf6w,55
1430,30,Boogie Down,Eddie Kendricks,None,1974,4rCzjErgNGgyFCMIKWlBcI,37
1431,31,You're Sixteen,Ringo Starr,None,1974,4MAxWahEbzU8m4bD6mSZg9,50
1432,32,If You Love Me (Let Me Know),Olivia Newton-John,None,1974,659kkKUPzX3KyWiRkL8OS1,37
1433,33,Dark Lady,Cher,None,1974,16ShgoIW9TtfzUFHOJJIvC,44
1434,34,Best Thing That Ever Happened to Me,Gladys Knight,the Pips,1974,0bYwN4LqZYLfs9ZEHPXjBC,55
1435,35,Feel Like Makin' Love,Roberta Flack,None,1974,7gkboYtvhuXNS4EUwmFPcw,65
1436,36,Just Don't Want to Be Lonely,The Main Ingredient,None,1974,2sFPuANmnZ9jIjmpqJntRO,39
1437,37,Nothing from Nothing,Billy Preston,None,1974,72PoJMDfdaw9gGECgA9kTZ,61
1438,38,Rock Your Baby,George McCrae,None,1974,16KwF7IrKHTVTitUKH58g3,51
1439,39,Top of the World,The Carpenters,None,1974,3ZzJHsTIVfhI9VOHFBDsbf,7
1440,40,The Joker,Steve Miller Band,None,1974,1bp2IO61zbQrbWNmKKxg3f,78
1441,41,I've Got to Use My Imagination,Gladys Knight,the Pips,1974,09U217EWHkPOh1PzhpHeIr,18
1442,42,The Show Must Go On,Three Dog Night,None,1974,4MD7QeIz9dH9U6WMJxKqfB,44
1443,43,Rock the Boat,The Hues Corporation,None,1974,0hMYmjPGASKLRaTJkKAgku,0
1444,44,Smokin' in the Boys Room,Brownsville Station,None,1974,1AIGp3gpj1NXJvh3engmUQ,47
1445,45,Living for the City,Stevie Wonder,None,1974,1O1mCVN5hue4lOOqd5EysZ,57
1446,46,The Night Chicago Died,Paper Lace,None,1974,4f4RRYN3R7glPElFjeoUnC,53
1447,47,Then Came You,Dionne Warwick,The Spinners,1974,3sFgcM3PVMvJ95n7mQJTU4,32
1448,48,The Entertainer,Marvin Hamlisch,None,1974,3qq7parQQaohn9N7qKrKtE,45
1449,49,Waterloo,ABBA,None,1974,0RzhMHIsFMbOGh0oWDvNNK,60
1450,50,The Air That I Breathe,The Hollies,None,1974,6yLIqXX9edg1x0HZS7cZEv,69
1451,51,Rikki Don't Lose That Number,Steely Dan,None,1974,18a9EGG4xhRELv7bgAw5hb,64
1452,52,Mockingbird,Carly Simon,James Taylor,1974,74UWXHeikO5C3ScEREk42E,51
1453,53,Help Me,Joni Mitchell,None,1974,0tVzXGFyNPusa1VkHmYDLd,56
1454,54,You Won't See Me,Anne Murray,None,1974,22QLjELWmorybFaEvm5pX2,33
1455,55,"Never, Never Gonna Give You Up",Barry White,None,1974,059fPu4PzOnxeyLFeP3D7P,30
1456,56,Tell Me Something Good,Rufus,Chaka Khan,1974,1OO2Fp9PsnaayiekeXuGJX,54
1457,57,You and Me Against the World,Helen Reddy,None,1974,26WupilYCvGn1OEX2CqKjN,39
1458,58,Rock and Roll Heaven,The Righteous Brothers,None,1974,7c8fTb0e6BocxwiyRq8Gz6,40
1459,59,Hollywood Swinging,Kool,the Gang,1974,6igsoAR6Co9u7Rq3U7mlOD,59
1460,60,Be Thankful for What You Got,William DeVaughn,None,1974,2TKt71TTe2CZCFsphbIZEs,50
1461,61,Hang on in There Baby,Johnny Bristol,None,1974,4RYNJVKgNpwSZguajVfsef,55
1462,62,Eres tÃº,Mocedades,None,1974,08HeIb9BidFjKROf9ptln0,59
1463,63,Takin' Care of Business,Bachman-Turner Overdrive,None,1974,0lzNXoZINVBLHWNIxKxWOo,68
1464,64,Radar Love,Golden Earring,None,1974,4Zau4QvgyxWiWQ5KQrwL43,65
1465,65,Please Come to Boston,Dave Loggins,None,1974,1pfSKTDigM2xnWG2Y0AquA,49
1466,66,Keep on Smilin',Wet Willie,None,1974,6sHrxsewgTMPs2Di4x636C,50
1467,67,Lookin' for a Love,Bobby Womack,None,1974,2zZuxnCPpUCfJ5STnZC19l,30
1468,68,Put Your Hands Together,The O'Jays,None,1974,57yGqjGKJUIzgKWdIZo9aR,31
1469,69,On and On,Gladys Knight,the Pips,1974,0qKnbglSUegyNBWCpw3WWo,46
1470,70,Oh Very Young,Cat Stevens,None,1974,7eiNxeOC8dvYAJWgTOu6xn,57
1471,71,Leave Me Alone (Ruby Red Dress),Helen Reddy,None,1974,2Uak7fGdGpwsgbIQWA8iCQ,37
1472,72,Goodbye Yellow Brick Road,Elton John,None,1974,4IRHwIZHzlHT1FQpRa5RdE,73
1473,73,(I've Been) Searchin' So Long,Chicago,None,1974,6X9AAdGL50tu0HQyBR5sqQ,32
1474,74,Oh My My,Ringo Starr,None,1974,7GqOrtlqGjt5kFlPK63ErE,33
1475,75,For the Love of Money,The O'Jays,None,1974,3p1JoOEhVkEnTaa4JzTMSk,55
1476,76,I Shot the Sheriff,Eric Clapton,None,1974,0UOxp1BpnD8uPQMKU4wKjz,68
1477,77,Jet,Paul McCartney,Wings,1974,2xq2soFR5DYGYZ2c4avHkv,40
1478,78,Don't Let the Sun Go Down on Me,Elton John,None,1974,11FcfHd3SOmmrWJPGe7Y30,63
1479,79,Tubular Bells,Mike Oldfield,None,1974,7ERSQrRptZVM7q3VOdM7OL,54
1480,80,A Love Song,Anne Murray,None,1974,2ZMVTfvCziy8qzSMgpD8Cz,40
1481,81,I'm Leaving It Up to You,Donny,Marie Osmond,1974,5hyd2fifGiazSiiSxvPYoS,29
1482,82,Hello It's Me,Todd Rundgren,None,1974,3gHFKiDanj4d2rqgHlRFFc,56
1483,83,I Love,Tom T. Hall,None,1974,5fTwUw09NNgCIOkEKu3bGB,50
1484,84,Clap for the Wolfman,The Guess Who,Wolfman Jack,1974,1od6mE18KChjjcZv5DZ0KS,41
1485,85,I'll Have to Say I Love You in a Song,Jim Croce,None,1974,4t8tx6o7oM6Ax66ZUU361y,63
1486,86,The Lord's Prayer,Sister Janet Mead,None,1974,2GLnxNLB83jsC3T3RF2XBW,19
1487,87,Trying to Hold on to My Woman,Lamont Dozier,None,1974,1p6fvUjZpBIR0LLYc90ez1,31
1488,88,Don't You Worry 'bout a Thing,Stevie Wonder,None,1974,1QvWxgZvTU0w8rlPRE5Zrv,61
1489,89,A Very Special Love Song,Charlie Rich,None,1974,3EwfpG9f86Z2cHIZ7N99Ii,26
1490,90,My Girl Bill,Jim Stafford,None,1974,46PZ18T8OG7a5aF2iglPDt,24
1491,91,Helen Wheels,Paul McCartney,Wings,1974,1hl9popG7MdtHyGUEwcspD,34
1492,92,My Mistake (Was to Love You),Diana Ross,Marvin Gaye,1974,0Uk4vrQwR4mlEoHBoTp6Q8,41
1493,93,Wildwood Weed,Jim Stafford,None,1974,2XqB7lzRMX6EFWY8HD4nZl,43
1494,94,Beach Baby,The First Class,None,1974,4fsw79o9lXmxKAucd56Cbm,22
1495,95,Me and Baby Brother,War,None,1974,7zgt5WiLyYncBGWp3ImJ6x,38
1496,96,Rockin' Roll Baby,The Stylistics,None,1974,0ulsSTSEG65LIPfcFtuxh7,26
1497,97,I Honestly Love You,Olivia Newton-John,None,1974,2kCIwSz0JoYQPrT4Ykr1MZ,34
1498,98,Call on Me,Chicago,None,1974,5BCPL5mWm6UqI4atl18kVm,41
1499,99,Wild Thing,Fancy,None,1974,2xFv9Znfm7KeEQbC8ZBxNI,16
1500,100,Mighty Love,The Spinners,None,1974,7DCav3rL0B3A5Lp7CXcatN,35
1501,1,Love Will Keep Us Together,Captain,Tennille,1975,4pCNJwixy2ImFncaPY2yE2,65
1502,2,Rhinestone Cowboy,Glen Campbell,None,1975,0VwTeYNjcl30DyQlt3GPe0,64
1503,3,Philadelphia Freedom,Elton John,None,1975,2hl9ONQ7YGgZGYx0OSHvIq,59
1504,4,Before the Next Teardrop Falls,Freddy Fender,None,1975,3awuorsQsio2PUOvzq3hpd,54
1505,5,My Eyes Adored You,Frankie Valli,None,1975,2yDQVcj26tpi9IUJhw9xDs,62
1506,6,Shining Star,Earth,Wind,1975,0RgcOUQg4qYAEt9RIdf3oB,64
1507,7,Fame,David Bowie,None,1975,1PehfITh0TTRx3LkDdV4h3,61
1508,8,Laughter in the Rain,Neil Sedaka,None,1975,2ozTcQyZQmm9tSmc4VZfwU,66
1509,9,One of These Nights,Eagles,None,1975,608xszaAxVh4m7NcKJiAbF,71
1510,10,Thank God I'm a Country Boy,John Denver,None,1975,69HICMmc6nNLucAx3aJX9M,67
1511,11,Jive Talkin',Bee Gees,None,1975,4t0Pj3iBnSCZv5pDEPNmzG,64
1512,12,Best of My Love,Eagles,None,1975,5MLLuLqPdUlx8bfKtdkLwO,62
1513,13,Lovin' You,Minnie Riperton,None,1975,4twhYPDyCP6ICeW3TtQVxP,60
1514,14,Kung Fu Fighting,Carl Douglas,None,1975,40NRm1ZLvZpUSCUXAGGZ8J,70
1515,15,Black Water,The Doobie Brothers,None,1975,4p8QcNkaq2FQj8uGJ7HEDK,63
1516,16,The Ballroom Blitz,Sweet,None,1975,1QIyCfZvgKNsDbf6guRFdS,19
1517,17,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,None,1975,0b7qiL1rLbUUpGXczt7p5T,49
1518,18,He Don't Love You (Like I Love You),Tony Orlando,Dawn,1975,0XaaoZUWQFzcFiQbXKhABU,42
1519,19,At Seventeen,Janis Ian,None,1975,7wJpqjqk8QbHpCakY1ZacY,49
1520,20,Pick Up the Pieces,Average White Band,None,1975,2x1LQq8lsUzAA2wNj8yjC9,56
1521,21,The Hustle,Van McCoy,the Soul City Symphony,1975,4wzUmBC4ZrF92IE1hPCTJp,49
1522,22,Lady Marmalade,Labelle,None,1975,3GGcwG519BTMdvMeFy7meT,59
1523,23,Why Can't We Be Friends,War,None,1975,6x959m2QDvatSwUAVCHIuf,61
1524,24,Love Won't Let Me Wait,Major Harris,None,1975,7eQyTHRRxYkyUh8JRNOw09,42
1525,25,Boogie On Reggae Woman,Stevie Wonder,None,1975,1xTfQiHbhB2Bj2B9dlAojb,52
1526,26,Wasted Days and Wasted Nights,Freddy Fender,None,1975,0Ao3qWJKueyfs3iqwGN30F,54
1527,27,Fight the Power,The Isley Brothers,None,1975,5q5qmdfdJAVOv1mbSk7xxN,43
1528,28,Angie Baby,Helen Reddy,None,1975,46OZwUIGXFDclUHJYjunOj,46
1529,29,Jackie Blue,Ozark Mountain Daredevils,None,1975,1R9EHsvzpXwOvlGkgDmE55,55
1530,30,Fire,Ohio Players,None,1975,06xkqQuJzl1ddeK48jG6qa,50
1531,31,Magic,Pilot,None,1975,500h8jAdr7LvzzXlm1qxtK,61
1532,32,Please Mr. Postman,The Carpenters,None,1975,549oNlexLX3IiZXN9faa26,1
1533,33,Sister Golden Hair,America,None,1975,5VSAonaAPhhGn0G7hMYwWK,69
1534,34,Lucy in the Sky with Diamonds,Elton John,None,1975,13JsYnkF16pHKuOFG6uI1C,56
1535,35,Mandy,Barry Manilow,None,1975,6iXQrhhgBisdfvS34EMTZ3,72
1536,36,Have You Never Been Mellow,Olivia Newton-John,None,1975,5ehVOC0zSdwWqyZlhomJSi,48
1537,37,Could It Be Magic,Barry Manilow,None,1975,6FDrn47S3Q4s9rhLHm4um0,47
1538,38,Cat's in the Cradle,Harry Chapin,None,1975,2obblQ6tcePeOEVJV6nEGD,67
1539,39,Wildfire,Michael Martin Murphey,None,1975,737c89v3Zdit8EUyNJ7KeS,51
1540,40,I'm Not Lisa,Jessi Colter,None,1975,2WQCzRvHubJxMIeCf2YhYG,46
1541,41,Listen to What the Man Said,Wings,None,1975,0SkpjIqhANcC2QQu8DIuwG,48
1542,42,I'm Not in Love,10cc,None,1975,5HQEmiV2lKnSO6qa2fsR7x,73
1543,43,I Can Help,Billy Swan,None,1975,4oW1lGOw5Q5OLvoJv92qoE,53
1544,44,Fallin' in Love,Hamilton,Joe Frank,1975,4LUGyzMUXBQdBZsrBxylMZ,39
1545,45,Feelings,Morris Albert,None,1975,1ib9HiMItjzAwAZFzlaK20,40
1546,46,Chevy Van,Sammy Johns,None,1975,31S6oGx81hVIjWz6cu5oNw,51
1547,47,When Will I Be Loved,Linda Ronstadt,None,1975,5jPPjNMIi1rD6BvQqxhJh5,61
1548,48,"You're the First, the Last, My Everything",Barry White,None,1975,3ZYO0HGRFFdAGeb8o7F9KC,72
1549,49,Please Mr. Please,Olivia Newton-John,None,1975,1lL1jDnZTH60djVb6vKIQj,44
1550,50,You're No Good,Linda Ronstadt,None,1975,23DZLSxCK6kM8FF2RlzKDl,62
1551,51,Dynomite,Bazuka,None,1975,3HynI3fAnfydE5hwvcPpdQ,23
1552,52,Walking in Rhythm,The Blackbyrds,None,1975,65vssm44ghOVf4tBZMY2AE,46
1553,53,The Way We Were/Try to Remember,Gladys Knight,the Pips,1975,5o9Zjvf69Rcm2YqPCX8Aj3,38
1554,54,Midnight Blue,Melissa Manchester,None,1975,0N3qcAXZM06zaTKm7JCtIh,46
1555,55,"Don't Call Us, We'll Call You",Sugarloaf,None,1975,3K5NiHOZZXKjllQJ7cFMRm,33
1556,56,Poetry Man,Phoebe Snow,None,1975,5uhULfoDgTvz7BeWlqrV4a,49
1557,57,How Long,Ace,None,1975,4AjKVyNUMdUveKK5OH1OJD,62
1558,58,Express,B.T. Express,None,1975,7aUA2QLuPtuaBgnxLSAbnZ,35
1559,59,That's the Way of the World,Earth,Wind,1975,4BNhasx75KbS10jHq3VZTz,59
1560,60,Lady,Styx,None,1975,1wpRglLhQ092N1rftlDMD3,54
1561,61,Bad Time,Grand Funk,None,1975,5h2XR7VWvJ7jPhbvCyuYee,41
1562,62,Only Women Bleed,Alice Cooper,None,1975,59xDvLlKHcLI0c9CSmzxSN,49
1563,63,Doctor's Orders,Carol Douglas,None,1975,0mOIj8tjNHcOBWSTGXmGVr,42
1564,64,Get Down Tonight,KC,the Sunshine Band,1975,2qVZpGu1v98tvUAutqyAfJ,54
1565,65,One Man Woman/One Woman Man,Paul Anka,Odia Coates,1975,218AiunmmYDSPVKgCTa4Q7,35
1566,66,You Are So Beautiful,Joe Cocker,None,1975,1gJOqXpRjz9GeEEwQpcujK,62
1567,67,Feel Like Makin' Love,Bad Company,None,1975,3KPwt1LBpt1jVSHz8GXERo,70
1568,68,How Sweet It Is (To Be Loved by You),James Taylor,None,1975,75Nlnd9AJ4CYrLXgWGsuTF,68
1569,69,Dance with Me,Orleans,None,1975,2GORop0i2cyx8C0A3JzL44,58
1570,70,Cut the Cake,Average White Band,None,1975,3xbxpWicMrEJWwNhgvMjp6,40
1571,71,Never Can Say Goodbye,Gloria Gaynor,None,1975,3b9Cpi8jW9jNoyx72QbfRO,55
1572,72,I Don't Like to Sleep Alone,Paul Anka,Odia Coates,1975,0kgjL2oRFsV6GSwVNCcQS6,54
1573,73,Morning Side of the Mountain,Donny,Marie Osmond,1975,1VdODpkKqLQ20VNlyN2H9e,24
1574,74,Some Kind of Wonderful,Grand Funk Railroad,None,1975,1cU34sZG9kF4FYHCoAD0Ib,65
1575,75,When Will I See You Again,The Three Degrees,None,1975,02srSkeu2pzybuVr2B9TJm,56
1576,76,"Get Down, Get Down (Get on the Floor)",Joe Simon,None,1975,35xAXJ0EVKTS78XgcEB7GU,5
1577,77,I'm Sorry,John Denver,None,1975,5opuphTIXgUUClEs5mnIQN,50
1578,78,Killer Queen,Queen,None,1975,7GqWnsKhMtEW0nzki5o0d8,67
1579,79,Shoeshine Boy,Eddie Kendricks,None,1975,1vIsPpjkRBJyFBbYdQNopN,24
1580,80,Do It ('Til You're Satisfied),B.T. Express,None,1975,4lnQfs7AmQm6dqCaNMDJLr,40
1581,81,Can't Get It Out of My Head,Electric Light Orchestra,None,1975,1f94GhohgeVq9SNwyFI691,54
1582,82,Sha-La-La (Make Me Happy),Al Green,None,1975,2J9ChZBgjDLdGaIKdKQcP0,48
1583,83,Lonely People,America,None,1975,5coTcHT7K8O3G97y9T4LOU,55
1584,84,You Got the Love,Rufus,None,1975,4y1vMFRC4T2P43ovfvOor7,42
1585,85,The Rockford Files Theme,Mike Post,None,1975,5ZX5pIdGQaeHxtHHe7v6ku,32
1586,86,It Only Takes a Minute,Tavares,None,1975,5DEy8wVNCdJdAGNsOWxmVQ,46
1587,87,No No Song,Ringo Starr,None,1975,2YnZugg0pdEkAtSHR4dwFo,46
1588,88,Junior's Farm,Paul McCartney,Wings,1975,0VaPY3XlVYUGXB9hR1fj1G,23
1589,89,Bungle in the Jungle,Jethro Tull,None,1975,6YA1LnVI98LXUmtMKs3fIk,44
1590,90,Long Tall Glasses (I Can Dance),Leo Sayer,None,1975,3AA2SafseoJo431Pee120g,39
1591,91,Misty,Ray Stevens,None,1975,7uomyxZYl0CXHEgVphykOB,40
1592,92,Someone Saved My Life Tonight,Elton John,None,1975,0bLOiofyBB62YU2cNnONJG,55
1593,93,Bad Blood,Neil Sedaka,None,1975,5ABrBYbzepxzcW9pLIWw1j,47
1594,94,Only Yesterday,The Carpenters,None,1975,5SGPjZYfrW1SohioJfMxCe,0
1595,95,I'm on Fire,Dwight Twilley Band,None,1975,00lGMQje26obrOjZ3jCBw0,9
1596,96,Only You (And You Alone),Ringo Starr,None,1975,42eZC1LaQ3qioZWVLisVT6,46
1597,97,Third Rate Romance,Amazing Rhythm Aces,None,1975,1oRvLqwJowH9JU0uO1iVzA,48
1598,98,You Ain't Seen Nothing Yet,BachmanÂTurner Overdrive,None,1975,0HOrDVS349XFcpCYsO2hAP,72
1599,99,Swearin' to God,Frankie Valli,None,1975,6lU9fLdtauyk0bE2HRHyve,41
1600,100,Get Dancin',Disco-Tex,the Sex-O-Lettes,1975,6WzOO4e61wqkoLrZrJbBl4,15
1601,1,Silly Love Songs,Wings,None,1976,3uiMBldZ07pW0ySHDX5gzE,66
1602,2,Don't Go Breaking My Heart,Elton John,Kiki Dee,1976,5pKJtX4wBeby9qIfFhyOJj,70
1603,3,Disco Lady,Johnnie Taylor,None,1976,1tMyqN7bNCokdg7jWgKPc8,39
1604,4,"December, 1963 (Oh, What a Night)",The Four Seasons,None,1976,1hQFF33xi8ruavZNyovtUN,74
1605,5,Play That Funky Music,Wild Cherry,None,1976,5uuJruktM9fMdN9Va0DUMl,71
1606,6,Kiss and Say Goodbye,The Manhattans,None,1976,0rHiGIRASJq8snJGFJMpnI,60
1607,7,Love Machine,The Miracles,None,1976,1b833AsiKCEhLLxmdQu9Hw,48
1608,8,50 Ways to Leave Your Lover,Paul Simon,None,1976,6Qb7gtV6Q4MnUjSbkFcopl,71
1609,9,Love Is Alive,Gary Wright,None,1976,5vVuiXoHyRGxJeCaHUpgae,52
1610,10,A Fifth of Beethoven,Walter Murphy,The Big Apple Band,1976,1hR3TNe1neCWRQatSVOFfX,54
1611,11,Sara Smile,Hall,Oates,1976,1qjrYozGqc7upUgfN776lZ,68
1612,12,Afternoon Delight,Starland Vocal Band,None,1976,3uLk0uQ4zMS26h89Of8XOD,62
1613,13,I Write the Songs,Barry Manilow,None,1976,5VU6nvX3BqkqBmOJ2d9vhW,51
1614,14,"Fly, Robin, Fly",Silver Convention,None,1976,4Wr14AISsCuBGdkA6rids4,49
1615,15,Love Hangover,Diana Ross,None,1976,4UqPeeSyRt59KZmC0aA2Ni,53
1616,16,Get Closer,Seals,Crofts,1976,5Eq0mobXSnyWu1dpE6lSdY,54
1617,17,"More, More, More",Andrea True Connection,None,1976,4hepyFFOO9I7oZCNn3T2sz,52
1618,18,Bohemian Rhapsody,Queen,None,1976,7tFiyTwD0nx5a1eklYtX2J,76
1619,19,Misty Blue,Dorothy Moore,None,1976,20JcxdRw8gvqTY1EEpYxHb,54
1620,20,Boogie Fever,The Sylvers,None,1976,3FZB0xezeoc1ddx72eg7iF,44
1621,21,I'd Really Love to See You Tonight,England Dan,John Ford Coley,1976,2r008pcfVYc0zgQvSRqUJE,67
1622,22,You Sexy Thing,Hot Chocolate,None,1976,714hERk9U1W8FMYkoC83CO,73
1623,23,Love Hurts,Nazareth,None,1976,1i5oEx2vFczQ2sCY3c6Kn5,60
1624,24,Get Up and Boogie,Silver Convention,None,1976,6kkHnD5hJK75kHRRR2zUJG,40
1625,25,Take It to the Limit,Eagles,None,1976,2cWHN0WK52RGAWHgaDamUA,66
1626,26,"(Shake, Shake, Shake) Shake Your Booty",KC,the Sunshine Band,1976,3Is0Nnz59rzbNZE491URlY,54
1627,27,Sweet Love,Commodores,None,1976,7zqguUyS3LQxAdL8rRgXx2,37
1628,28,Right Back Where We Started From,Maxine Nightingale,None,1976,00s8dO3RWrFkBqC9JIy6ag,66
1629,29,Theme from S.W.A.T.,Rhythm Heritage,None,1976,5x9xxVr7nJ9xMfDIW02Nv3,33
