,rank,title,artist,other artists,year,Spotify id,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
326,27,Pipeline,The Chantays,None,1963,3Wwy5wlxd8CpKMZGc4Mgjf,44,0.444,0.459,9,-16.485,0,0.0388,0.752,0.885,0.13,0.735,152.111,139.253,4
327,28,Surf City,Jan,Dean,1963,1Oewmmr12xuhgzvUJ9Q0cf,53,0.534,0.807,8,-12.871,1,0.0349,0.497,5.00E-05,0.232,0.964,147.843,147.267,4
328,29,It's My Party,Lesley Gore,None,1963,1Pq47iFLC5U7j8xeNiNcuS,60,0.692,0.501,9,-11.708,1,0.0625,0.368,0,0.0393,0.961,128.388,140,4
329,30,Blame It on the Bossa Nova,Eydie GormÃÂ©,None,1963,1vOsIiq80fcYONCUEBbzHu,36,0.658,0.394,1,-15.838,1,0.0422,0.529,0,0.197,0.968,79.707,154.118,4
330,31,You Can't Sit Down,The Dovells,None,1963,54sxFj01a5BELIOKHKx5Tm,31,0.432,0.869,5,-5.596,1,0.239,0.119,0,0.319,0.966,164.777,139.187,4
331,32,Heat Wave,Martha,the Vandellas,1963,3VgrSJEKBRT3xmwzpaxxEF,64,0.514,0.624,0,-9.287,0,0.0842,0.513,0.00517,0.307,0.755,166.726,163.053,4
332,33,Denise,Randy,the Rainbows,1963,2uyTuHLAB3unDK1vkjViH5,42,0.547,0.678,5,-9.841,0,0.0416,0.432,0,0.114,0.895,125.883,118.413,4
333,34,Walk Right In,The Rooftop Singers,None,1963,4WhT2YADjcU58IUgroWZQZ,45,0.681,0.66,3,-10.426,1,0.0319,0.791,0.0364,0.0669,0.965,130.019,157.267,4
334,35,If You Wanna Be Happy,Jimmy Soul,None,1963,7D97JnBT73FWUh9KmRvP9M,50,0.673,0.866,10,-8.34,1,0.0391,0.695,0.000231,0.328,0.839,93.224,143,4
335,36,Surfer Girl,The Beach Boys,None,1963,1AJ5F0FMTC3yFU3ocjy1gE,53,0.522,0.37,2,-8.364,1,0.0253,0.651,0,0.142,0.653,105.826,148.533,3
336,37,If I Had a Hammer,Trini Lopez,None,1963,44Btht5msS0IQ7o2DZuFdu,48,0.468,0.933,11,-8.937,0,0.0852,0.623,0,0.952,0.867,85.505,179.4,4
337,38,Everybody,Tommy Roe,None,1963,4IJcHdY7t0TcHnmjNtPkil,23,0.544,0.588,11,-7.595,0,0.0287,0.361,0,0.127,0.842,142.465,119.187,4
338,39,Easier Said Than Done,The Essex,None,1963,2C5p7j2gw7Jr2VAZDiNP4u,23,0.796,0.475,4,-11.216,1,0.0435,0.486,1.52E-06,0.195,0.883,136.459,126.04,4
339,40,Ruby Baby,Dion,None,1963,1EtQ8AIs2pHW6FwFvtYPd7,36,0.643,0.538,4,-14.049,1,0.132,0.788,0,0.226,0.599,121.728,156.48,4
340,41,Maria Elena,Los Indios Tabajaras,None,1963,3ygHAK1w3qP4wp83KXUiiu,49,0.665,0.0989,11,-19.132,1,0.0458,0.93,0.843,0.11,0.591,83.605,187.867,4
341,42,Our Day Will Come,Ruby,the Romantics,1963,3ngYXFSYtF5mHguNCA3JZ0,43,0.538,0.625,8,-7.722,1,0.045,0.708,0.000126,0.128,0.718,92.422,154.707,4
342,43,I Can't Stay Mad at You,Skeeter Davis,None,1963,0ijOfCj9PHvhnrX6WXrQns,28,0.552,0.666,1,-8.507,1,0.0309,0.657,3.19E-06,0.132,0.914,120.292,126.6,4
343,44,Hello Stranger,Barbara Lewis,None,1963,7v8YDCoM60xCPuSbXerImD,55,0.458,0.164,0,-23.883,1,0.0304,0.743,0,0.125,0.82,103.32,166.96,4
344,45,Be My Baby,The Ronettes,None,1963,2G2YzndIA6jeWFPBXhUjh5,72,0.511,0.769,4,-7.032,1,0.042,0.181,0,0.0921,0.818,129.657,160.907,4
345,46,Mean Woman Blues,Roy Orbison,None,1963,0xeSDTXE4yc7AyF5pleSe5,32,0.325,0.789,9,-7.861,1,0.102,0.608,7.64E-05,0.0687,0.69,165.972,143.6,4
346,47,South Street,The Orlons,None,1963,2yoTFqvgtJgEK68lfUC9Kp,24,0.571,0.725,5,-5.303,1,0.213,0.136,0,0.177,0.817,186.902,132.453,4
347,48,Days of Wine and Roses,Henry Mancini,None,1963,2sWRC12vYVTHjdTD2WOE4v,31,0.246,0.171,7,-14.435,0,0.0298,0.852,0,0.195,0.205,81.235,126.549,4
348,49,The Monkey Time,Major Lance,None,1963,6FR1i5g41rMtTSoCK6wQZc,30,0.798,0.676,5,-8.707,1,0.0487,0.579,0,0.114,0.939,123.269,166.467,4
349,50,Candy Girl,The Four Seasons,None,1963,4AFLFG6pyvhBLC37FbDwc2,36,0.644,0.52,5,-8.163,1,0.036,0.719,0,0.644,0.715,126.204,157.8,4
350,51,Still,Bill Anderson,None,1963,0Q7eey8NSPQEQ3ol75UAAx,46,0.561,0.142,8,-18.972,1,0.0433,0.678,0.00631,0.226,0.293,94.454,166.973,4
351,52,Blue on Blue,Bobby Vinton,None,1963,5n6zROqnqMtYXfQ2vazEaz,37,0.607,0.303,10,-10.065,1,0.0244,0.817,0,0.183,0.555,97.383,144.533,4
352,53,Cry Baby,Garnet Mimms,the Enchanters,1963,6BiQOxPWVZvum3BZ2Bd4a7,39,0.48,0.405,10,-10.528,1,0.0372,0.497,0,0.196,0.668,152.646,206.227,3
353,54,Two Faces Have I,Lou Christie,None,1963,1cpguRdD11njLNH2ZeWygE,36,0.649,0.584,5,-8.086,1,0.0349,0.72,9.42E-06,0.0996,0.963,139.266,165.067,4
354,55,Busted,Ray Charles,None,1963,3YSviAGEU8lslBKSNkc2Z3,9,0.917,0.466,7,-9.253,1,0.207,0.13,5.19E-06,0.0675,0.634,91.3,379.533,4
355,56,Da Doo Ron Ron,The Crystals,None,1963,0fonScmHUzC0MglSLn9saA,56,0.535,0.797,3,-7.533,1,0.0459,0.48,3.42E-05,0.141,0.613,148.835,140.12,4
356,57,Foolish Little Girl,The Shirelles,None,1963,093adSf9ll30BEpggrfask,40,0.739,0.743,7,-5.926,0,0.0321,0.452,0,0.331,0.922,111.07,137.293,4
357,58,Memphis,Lonnie Mack,None,1963,5ci1SmCBwodTJrq5zeW4fp,27,0.655,0.602,7,-9.742,1,0.025,0.0533,0.953,0.0435,0.769,101.628,148.52,4
358,59,In Dreams,Roy Orbison,None,1963,5YsyqcewwE0c1ukzHVciS3,59,0.495,0.435,0,-9.99,1,0.0286,0.67,0.00038,0.13,0.71,108.189,169.16,4
359,60,More,Kai Winding,None,1963,05f3cqpj6Mf5EU0xiVLA4e,27,0.435,0.554,4,-12.065,0,0.0308,0.00711,0.914,0.161,0.754,134.115,122.373,4
360,61,Fools Rush In,Rick Nelson,None,1963,3jkcKJnxkPwx2aYSQ7D0Wp,41,0.655,0.651,9,-10.196,1,0.0323,0.0219,1.07E-05,0.207,0.867,122.584,154.36,4
361,62,Losing You,Brenda Lee,None,1963,78HTdAIfx2UBmFWZN4s7A6,51,0.384,0.303,4,-9.288,1,0.027,0.516,0,0.185,0.269,110.75,154.173,3
362,63,Our Winter Love,Bill Pursell,None,1963,66HiDLgn9SEfdfLPFHWxuZ,22,0.452,0.101,1,-18.548,1,0.0295,0.768,0.933,0.122,0.22,76.402,142.693,4
363,64,I Wanna Be Around,Tony Bennett,None,1963,1smChL3Aq1U9DZA83LuDtp,39,0.498,0.266,10,-13.425,1,0.0348,0.768,0,0.0828,0.376,69.601,131.227,4
364,65,You've Really Got a Hold on Me,The Miracles,None,1963,7wLRmjiDYI6flIVzboUqSV,59,0.68,0.448,0,-8.398,1,0.0302,0.698,0,0.227,0.567,118.461,177.707,3
365,66,Sally Go 'Round the Roses,The Jaynetts,None,1963,31s2mbxcx4LX1EtZg1fUvA,37,0.694,0.453,2,-12.583,1,0.0327,0.234,0.546,0.0703,0.457,146.6,195.4,4
366,67,Little Red Rooster,Sam Cooke,None,1963,1msykqPE0qoZig4nb9khI0,41,0.597,0.64,9,-7.719,1,0.0427,0.588,0,0.526,0.823,92.422,171.827,4
367,68,Then He Kissed Me,The Crystals,None,1963,5usNPz6U1acDrkUYekGYDY,59,0.44,0.682,4,-7.416,1,0.0373,0.681,3.33E-05,0.207,0.626,135.917,158.853,4
368,69,(You're the) Devil in Disguise,Elvis Presley,None,1963,0D1pEisM3QkiacGXJe5dmd,66,0.481,0.733,5,-7.633,1,0.165,0.575,1.18E-05,0.108,0.874,122.909,140.427,4
369,70,Those Lazy-Hazy-Crazy Days of Summer,Nat King Cole,None,1963,0ItlbY5mHDSYQd3SOgAlZu,52,0.416,0.726,6,-5.254,1,0.0573,0.687,0,0.27,0.895,182.219,145.013,4
370,71,Baby Workout,Jackie Wilson,None,1963,4c9g1LMBE6RMxmI9DcxlQw,35,0.556,0.867,8,-2.346,1,0.0554,0.445,0,0.598,0.896,143.04,184.653,4
371,72,Pride and Joy,Marvin Gaye,None,1963,7yvOPcquZRqoIxk14gkaMk,33,0.622,0.625,3,-8.635,1,0.0562,0.678,0,0.28,0.842,119.397,155.267,4
372,73,Walking the Dog,Rufus Thomas,None,1963,602rnDrA59nfIEcX5Qrlcx,34,0.803,0.494,8,-9.033,1,0.0326,0.711,0.000561,0.0623,0.774,115.771,158.089,4
373,74,From a Jack to a King,Ned Miller,None,1963,0tGvjiddWph1hYUbdZ7u6Q,32,0.607,0.624,11,-2.983,1,0.0336,0.824,0,0.102,0.694,100.809,130,4
374,75,Up on the Roof,The Drifters,None,1963,2806jBTs12WAfzFImSxJzL,53,0.584,0.489,8,-6.182,1,0.0277,0.755,0,0.133,0.777,121.891,155.053,4
375,76,What Will Mary Say,Johnny Mathis,None,1963,6zYmF5WIfsj6wU8l1cOFYH,22,0.313,0.399,0,-9.552,1,0.031,0.776,2.31E-06,0.157,0.367,107.404,189.053,4
376,77,Mama Didn't Lie,Jan Bradley,None,1963,3kxeWFs0yCmoC5oqOsEmoy,25,0.733,0.585,4,-7.447,1,0.0572,0.849,0,0.131,0.947,124.612,123.16,4
377,78,The Night Has a Thousand Eyes,Bobby Vee,None,1963,7oeacNYuOm66e6QcIxsksw,47,0.555,0.506,5,-10.771,0,0.0326,0.69,0,0.0905,0.888,98.557,155.667,4
378,79,Don't Say Nothin' Bad (About My Baby),The Cookies,None,1963,5QV1ERhFeYKZfK1Y99gYG6,24,0.611,0.591,2,-7.138,1,0.0352,0.717,0.00888,0.478,0.91,124.115,165.84,4
379,80,Ring of Fire,Johnny Cash,None,1963,6YffUZJ2R06kyxyK6onezL,73,0.659,0.585,7,-8.189,1,0.0288,0.623,0.000213,0.348,0.784,104.111,158.427,4
380,81,Just One Look,Doris Troy,None,1963,154uJXAUVoqvV5on0w03a0,53,0.856,0.436,5,-15.419,1,0.0419,0.735,0.00193,0.125,0.944,107.967,151.907,4
381,82,"Hello Muddah, Hello Fadduh (A Letter from Camp)",Allan Sherman,None,1963,1WvcgDbT79xeAa7Mv0klkK,22,0.591,0.337,9,-13.186,1,0.193,0.875,0,0.64,0.729,120.17,162.075,4
382,83,Judy's Turn to Cry,Lesley Gore,None,1963,5Vb0SgInHwS0tq46dApdBY,39,0.742,0.573,11,-12.477,0,0.0591,0.592,0,0.0711,0.968,129.082,131,4
383,84,"Tie Me Kangaroo Down, Sport",Rolf Harris,None,1963,10maCTtDF9d49etMTnA45B,30,0.467,0.531,9,-14.405,1,0.911,0.41,0,0.0589,0.608,188.018,163.4,4
384,85,Mickey's Monkey,The Miracles,None,1963,28ODIjaThE6hBOUAAl7y3W,29,0.692,0.88,10,-7.089,0,0.0812,0.152,0.0623,0.279,0.733,93.294,194.44,4
385,86,Donna the Prima Donna,Dion,None,1963,2RluieXkKFnU1VrJfHPRlc,41,0.331,0.556,6,-10.672,0,0.0372,0.675,0,0.353,0.939,138.635,168.347,4
386,87,"That Sunday, That Summer",Nat King Cole,None,1963,3SWIQx1j5erTiT9IXcaRNH,30,0.249,0.46,1,-9.914,1,0.0406,0.755,0,0.395,0.462,82.495,190.667,4
387,88,Another Saturday Night,Sam Cooke,None,1963,5z8DiKSG4EwxmO6gUi12rZ,59,0.776,0.659,9,-7.767,1,0.051,0.434,0,0.0868,0.969,123.094,160,4
388,89,"Painted, Tainted Rose",Al Martino,None,1963,5f4LwMkyw5ldc4TCrvDoy6,13,0.348,0.309,7,-13.268,1,0.0288,0.58,3.85E-06,0.334,0.403,103.603,167.867,4
389,90,(Down At) Papa Joe's,Dixie Belles,None,1963,4nMHxAPUbpFyIroLkRsm0A,13,0.429,0.794,7,-10.708,1,0.0813,0.495,0.000265,0.349,0.735,165.599,152.315,4
390,91,Go Away Little Girl,Steve Lawrence,None,1963,5ewcbH8HRUcbDD0UsXa9by,45,0.345,0.346,0,-10.837,1,0.0309,0.381,0,0.471,0.521,109.368,131.266,4
391,92,Take These Chains from My Heart,Ray Charles,None,1963,3FQWctzZxGRaIbzX6YDNPB,43,0.435,0.131,5,-11.274,1,0.0287,0.859,0,0.113,0.447,102.975,176.587,4
392,93,Talk to Me,Sunny,the Sunglows,1963,43Tf5c7fcBIvuuCSBODKkA,26,0.431,0.5,7,-7.053,1,0.0318,0.802,9.87E-06,0.34,0.581,123.375,165.053,3
393,94,Come and Get These Memories,Martha,the Vandellas,1963,5gwvsIrTVL4F76tn9xEhQ3,35,0.532,0.664,3,-7.293,1,0.0447,0.653,1.14E-06,0.208,0.848,127.007,143.667,4
394,95,Bossa Nova Baby,Elvis Presley,None,1963,22Z6ClJxSRovjPiswfCg3V,44,0.755,0.736,0,-9.594,1,0.107,0.657,0,0.226,0.953,106.777,122.76,4
395,96,Do the Bird,Dee Dee Sharp,None,1963,1BSiYIjfWrSKiCnxJu2RwG,22,0.641,0.673,2,-5.42,1,0.0407,0.215,0,0.0469,0.929,79.224,132.88,4
396,97,Shut Down,The Beach Boys,None,1963,2moq838vdmPDMR72OOhLCT,33,0.592,0.744,8,-8.18,1,0.0478,0.0651,0.00083,0.0531,0.977,159.882,111.053,4
397,98,One Fine Day,The Chiffons,None,1963,6vcG9EgeqJUSmmF65lxUm6,61,0.251,0.868,1,-2.685,1,0.128,0.488,7.34E-06,0.814,0.599,177.13,128.2,4
398,99,500 Miles,Bobby Bare,None,1963,44AauRai27QWKEx4dKn0oU,51,0.501,0.429,7,-10.803,1,0.0293,0.669,0,0.539,0.551,108.948,162.56,4
399,100,Little Town Flirt,Del Shannon,None,1963,3HTrH00YRZZWJ8C6cb12ea,36,0.657,0.686,1,-6.851,1,0.0283,0.134,0,0.468,0.883,123.779,169.2,4
400,1,I Want to Hold Your Hand,The Beatles,None,1964,4pbG9SUmWIvsROVLF0zF9s,74,0.49,0.715,7,-5.549,1,0.0476,0.386,0,0.311,0.866,130.726,145.747,4
401,2,She Loves You,The Beatles,None,1964,6nEkxYIEnrbYH7h1hJ8Xn6,69,0.377,0.916,4,-3.199,0,0.0481,0.26,0,0.074,0.912,75.533,140.92,4
402,3,"Hello, Dolly!",Louis Armstrong,None,1964,63kd4m3VFxcJjPVVtbVNAu,54,0,0.405,0,-9.935,1,0,0.842,0.00114,0.198,0,0,147,0
403,4,"Oh, Pretty Woman",Roy Orbison,None,1964,48i055G1OT5KxGGftwFxWy,75,0.619,0.603,9,-9.481,1,0.0342,0.715,0,0.0721,0.958,127.432,178.933,4
404,5,I Get Around,The Beach Boys,None,1964,3v9xlH6BpmRbqL7hgNJhfT,67,0.39,0.625,9,-7.813,0,0.0537,0.36,0,0.0663,0.514,144.338,134.387,4
405,6,Everybody Loves Somebody,Dean Martin,None,1964,5I9sHwLDX28tLtzVgKLtpr,65,0.366,0.391,3,-12.322,1,0.0425,0.854,0,0.352,0.461,119.182,164.547,3
406,7,My Guy,Mary Wells,None,1964,4591VqUIXysNlmI5NcAIUd,67,0.691,0.581,10,-7.85,1,0.065,0.557,4.62E-05,0.147,0.91,126.615,174.44,4
407,8,We'll Sing in the Sunshine,Gale Garnett,None,1964,3WYYzUlLrl4NVNeoKd7MnG,42,0.536,0.351,11,-8.026,1,0.0266,0.762,0,0.22,0.532,106.73,179.12,4
408,9,Last Kiss,J. Frank Wilson,the Cavaliers,1964,48obzdkQV1biEq8cPsGLys,43,0.746,0.482,1,-7.919,0,0.0471,0.262,0,0.0671,0.698,135.202,148.68,4
409,10,Where Did Our Love Go,The Supremes,None,1964,69RH84na5iUNwrwxpgjC5j,67,0.566,0.49,0,-10.867,1,0.0414,0.791,1.42E-05,0.0919,0.847,134.934,153.333,4
410,11,People,Barbra Streisand,None,1964,0s7UEtczBGK68zYCi1y6W8,35,0.481,0.436,7,-8.299,1,0.0281,0.768,3.26E-05,0.0975,0.27,95.105,254.853,4
411,12,Java,Al Hirt,None,1964,5MdHvAvlmQJ3JHIvIK9uXz,41,0.679,0.721,1,-10.36,1,0.0535,0.803,0.893,0.088,0.963,92.43,119.133,4
412,13,A Hard Day's Night,The Beatles,None,1964,5J2CHimS7dWYMImCHkEFaJ,69,0.59,0.805,0,-6.481,1,0.0371,0.137,0,0.0996,0.797,138.514,154.2,4
413,14,Love Me Do,The Beatles,None,1964,3VbGCXWRiouAq8VyMYN2MI,70,0.52,0.829,0,-6.228,1,0.0806,0.386,6.20E-05,0.227,0.744,147.997,141.693,4
414,15,Do Wah Diddy Diddy,Manfred Mann,None,1964,69sEXPrKQ5PtCxel5csSXs,60,0.66,0.583,4,-7.361,1,0.0512,0.282,0,0.0553,0.941,125.44,144.147,4
415,16,Please Please Me,The Beatles,None,1964,6EHuOufBeL6vk3TvVJB5qo,63,0.527,0.48,4,-9.61,1,0.028,0.334,0,0.0702,0.706,139.388,120.853,4
416,17,Dancing in the Street,Martha,the Vandellas,1964,6rLqjzGV5VMLDWEnuUqi8q,70,0.556,0.57,2,-9.472,1,0.0393,0.0118,0.000526,0.198,0.304,126.01,165.227,4
417,18,Little Children,Billy J. Kramer,The Dakotas,1964,4Ut93W00xLJxJKHzm3MP5L,0,0.576,0.528,10,-9.832,1,0.0325,0.731,3.64E-05,0.156,0.707,104.979,167.507,4
418,19,Love Me with All Your Heart (Cuando Calienta El Sol),The Ray Charles Singers,None,1964,7F9PBz5Dqqe9gmM2n2g8yv,37,0.307,0.522,9,-10.226,0,0.0374,0.809,0,0.0765,0.654,200.596,140.48,3
419,20,Under the Boardwalk,The Drifters,None,1964,65jrjEhWfAvysKfnojk1i0,69,0.747,0.226,7,-13.635,1,0.0415,0.908,0.000168,0.107,0.778,123.789,161.96,4
420,21,Chapel of Love,The Dixie Cups,None,1964,4JchWgAG3RZmCLHcEGf9DZ,56,0.593,0.354,9,-10.269,1,0.0288,0.733,0,0.527,0.793,124.63,170.874,4
421,22,Suspicion,Terry Stafford,None,1964,17YtDVU9bUluyihdOKWfxu,45,0.595,0.57,2,-11.301,1,0.0356,0.678,0.291,0.13,0.884,137.757,154.907,4
422,23,Glad All Over,The Dave Clark Five,None,1964,2w8oMeJjXn1KTnU2fr9eFB,47,0.462,0.803,2,-8.357,1,0.0585,0.152,0,0.0788,0.896,137.789,163.327,4
423,24,Rag Doll,The Four Seasons,None,1964,6kAROIu6CLVjulTqSPYmAP,45,0.498,0.534,10,-8.346,1,0.0378,0.755,8.82E-05,0.0665,0.611,120.935,181.56,4
424,25,Dawn (Go Away),The Four Seasons,None,1964,7tAwfqQWDA1dLKiLvn8EgH,41,0.63,0.598,9,-6.057,1,0.0355,0.509,1.39E-06,0.0802,0.851,133.756,167.76,4
425,26,Bread and Butter,The Newbeats,None,1964,4RJi2cYNOxfklHZZ7foR2y,48,0.71,0.546,2,-14.582,1,0.0469,0.757,0.00981,0.152,0.897,82.182,122.72,4
426,27,It Hurts to Be in Love,Gene Pitney,None,1964,0Sr9pmp8QMts6l3kAunRrP,36,0.591,0.662,6,-8.657,1,0.0443,0.0702,0,0.103,0.881,129.955,152.76,4
427,28,Dead Man's Curve,Jan,Dean,1964,2BPEPkeifa5LoOg2Cq9bkx,44,0.459,0.703,6,-9.578,1,0.041,0.677,0.000707,0.0815,0.904,133.5,151.16,4
428,29,Come a Little Bit Closer,Jay,the Americans,1964,252YuUdUaC5OojaBU0H1CP,69,0.636,0.684,3,-9.302,1,0.057,0.52,0.0015,0.534,0.881,132.509,166.667,4
429,30,A World Without Love,Peter,Gordon,1964,1A0j6qANKHgk7VZ6uvYO06,44,0.512,0.658,1,-9.972,0,0.0607,0.232,0,0.108,0.752,129.861,160.88,4
430,31,Have I the Right?,The Honeycombs,None,1964,3DzwsdqmeL60taVeshJ8WP,45,0.368,0.891,1,-8.067,0,0.26,0.024,0.000611,0.194,0.527,142.216,178.04,4
431,32,Don't Let the Rain Come Down (Crooked Little Man),The Serendipity Singers,None,1964,43tXphvUlXym54Z0cg1rjd,22,0.785,0.34,2,-15.593,1,0.192,0.752,0,0.107,0.652,129.007,166.36,4
432,33,Baby Love,The Supremes,None,1964,5uES1C2NgkdrNHiCwf9jRr,70,0.595,0.643,5,-9.275,1,0.0365,0.76,0,0.538,0.73,135.633,158.04,4
433,34,Let It Be Me,Betty Everett,Jerry Butler,1964,4rmB4N9wNLiq18OT40mZvd,5,0.281,0.423,10,-15.513,1,0.0406,0.561,0.00274,0.968,0.389,78.58,218.64,4
434,35,Wishin' and Hopin',Dusty Springfield,None,1964,1UBcwKIAUHo7BYAvae6yeA,47,0.683,0.374,11,-10.084,1,0.0381,0.232,0,0.146,0.707,108.125,176.4,4
435,36,You Don't Own Me,Lesley Gore,None,1964,7ngRS53kqxLcEt9Pythc5d,64,0.473,0.434,2,-10.02,1,0.0257,0.701,0,0.628,0.711,94.814,150,3
436,37,Walk On By,Dionne Warwick,None,1964,3xsOtNxtBW0oTI1OWKAzTm,63,0.7,0.33,5,-9.027,1,0.0303,0.719,8.60E-05,0.136,0.524,98.605,178.333,4
437,38,The House of the Rising Sun,The Animals,None,1964,7BY005dacJkbO6EPiOh2wb,71,0.295,0.584,9,-6.696,0,0.0345,0.000385,0.218,0.0996,0.228,117.2,271.28,3
438,39,G.T.O.,Ronny,the Daytonas,1964,5GvVxxwieOVIlZaCU9bG0R,41,0.482,0.615,4,-7.047,1,0.0468,0.574,7.96E-06,0.795,0.932,83.117,149.333,4
439,40,Twist and Shout,The Beatles,None,1964,5ZBeML7Lf3FMEVviTyvi8l,76,0.482,0.849,2,-9.198,1,0.0452,0.641,7.74E-06,0.0414,0.937,124.631,155.227,4
440,41,Memphis,Johnny Rivers,None,1964,5QqdnAVnNCfWp9CZ3pi5a0,44,0.614,0.794,4,-7.979,1,0.0742,0.593,0,0.966,0.646,90.653,164.8,4
441,42,White on White,Danny Williams,None,1964,4GwosqCFTn7RKfyPgy3kWW,25,0.578,0.453,0,-8.838,1,0.026,0.849,0,0.273,0.568,112.992,139.893,4
442,43,Hey Little Cobra,The Rip Chords,None,1964,5LV5LgYnApxTF0BoZ3cDye,32,0.563,0.754,6,-7.442,1,0.0676,0.531,0,0.379,0.918,156.664,119.96,4
443,44,The Shoop Shoop Song (It's in His Kiss),Betty Everett,None,1964,3qoNRhQuqbAG4uXrPx2aSk,49,0.652,0.456,9,-9.673,1,0.0569,0.737,0,0.235,0.966,121.983,136.117,4
444,45,Bits and Pieces,The Dave Clark Five,None,1964,3bMt6mpqpDiCRQ3poewMAo,39,0.485,0.835,5,-8.871,0,0.101,0.0225,0.000114,0.0766,0.974,143.853,118.907,4
445,46,My Boy Lollipop,Millie Small,None,1964,4yb9nJL8YatoQbz6YPB3hl,37,0.693,0.441,2,-13.275,1,0.0567,0.169,0.000102,0.153,0.963,132.529,120.373,4
446,47,"Um, Um, Um, Um, Um, Um",Major Lance,None,1964,27FhNKYP8B0F3teHdcD5ob,37,0.849,0.416,11,-12.302,0,0.0814,0.152,0,0.29,0.911,117.408,139.173,4
447,48,The Little Old Lady from Pasadena,Jan,Dean,1964,4F2w3xgfaVJdCSAqDtJULv,47,0.478,0.817,3,-5.48,1,0.0316,0.548,4.00E-05,0.0444,0.943,145.946,166.04,4
448,49,Don't Let the Sun Catch You Crying,Gerry,the Pacemakers,1964,5WK2srLxBE7aCxg1Zt8GIe,48,0.477,0.352,1,-14.165,1,0.03,0.406,0,0.122,0.478,106.773,157.093,4
449,50,A Summer Song,Chad,Jeremy,1964,5xM7bDmr2KUynKX6OfZufi,48,0.587,0.414,9,-12.68,1,0.0296,0.729,0.000123,0.106,0.497,124.016,160.413,4
450,51,The Girl from Ipanema,Stan Getz,Astrud Gilberto,1964,5D9Psd43c2cidUu6RdkCu2,11,0.666,0.181,5,-14.932,0,0.0409,0.896,0.000373,0.111,0.391,130.024,325.12,4
451,52,Can't Buy Me Love,The Beatles,None,1964,3EQBI1Fiv7z3QfqTeb9Tqk,5,0.844,0.299,0,-12.645,1,0.0621,0.848,0.844,0.102,0.566,102.088,131.176,4
452,53,Remember (Walking in the Sand),The Shangri-Las,None,1964,4oh1goAlAK5FjkzjacrGPu,25,0.339,0.675,10,-5.712,1,0.0464,0.658,0.0193,0.139,0.428,99.87,136.893,3
453,54,C'mon and Swim,Bobby Freeman,None,1964,7LAMmINm2WrXyvFAD1iVnD,34,0.58,0.575,5,-10.527,0,0.0336,0.318,6.55E-06,0.44,0.912,78.797,187.907,4
454,55,Do You Want to Know a Secret,The Beatles,None,1964,7Aobt67JnaF7qN8jCCKvHq,64,0.673,0.349,4,-12.414,1,0.0368,0.608,0,0.38,0.609,124.451,117.013,4
455,56,Keep On Pushing,The Impressions,None,1964,5mDEEfMs1fHTjoEffGvnvr,43,0.677,0.539,6,-6.64,0,0.0408,0.687,0,0.128,0.695,133.621,155.627,3
456,57,Baby I Need Your Loving,The Four Tops,None,1964,31CUzsUuvz1EhTbT6MfqDU,0,0.721,0.907,0,-5.992,0,0.0518,0.642,5.55E-05,0.473,0.75,122.077,158.452,4
457,58,Navy Blue,Diane Renay,None,1964,11p8gGHiZ3zOJbU3CfFTiN,33,0.669,0.832,9,-8.73,0,0.0742,0.275,0,0.101,0.962,137.674,150.84,4
458,59,Diane,The Bachelors,None,1964,01QicLin8hNjIcUDuE0nRP,30,0.401,0.426,3,-10.8,1,0.0315,0.66,0,0.165,0.395,129.86,154,4
459,60,Out of Limits,The Marketts,None,1964,7xAJpAeopaV6rilu3iiwME,49,0.485,0.779,7,-14.235,1,0.039,0.367,0.432,0.18,0.483,133.223,129.293,4
460,61,Little Honda,The Hondells,None,1964,1cGSH1k0A1WtCzpvdW5zuN,27,0.373,0.61,2,-10.703,1,0.0463,0.54,0,0.837,0.904,153.239,125.067,4
461,62,Chug-a-Lug,Roger Miller,None,1964,0mD2pnYVF8DB3oqtY5KM8h,50,0.717,0.324,11,-14.631,1,0.113,0.739,0.000258,0.139,0.888,172.189,119.093,4
462,63,See the Funny Little Clown,Bobby Goldsboro,None,1964,4QBAiXG5GqENph08jFmVmt,26,0.69,0.313,2,-11.783,1,0.0337,0.303,0.0148,0.0912,0.591,106.701,155.643,4
463,64,Because,The Dave Clark Five,None,1964,4IQ0Qa0xJ5ZgbzZ2jyrxC0,45,0.712,0.508,7,-9.562,1,0.0343,0.441,1.13E-05,0.286,0.796,123.002,142.425,4
464,65,(Just Like) Romeo and Juliet,The Reflections,None,1964,7iSG8g8HVyGz8pgMD5cG6B,31,0.773,0.863,3,-9.321,1,0.0356,0.205,0.586,0.188,0.976,145.384,127.893,4
465,66,For You,Rick Nelson,None,1964,252BHYUYVNpJLYqIjQ75zY,27,0.729,0.673,7,-11.078,1,0.0527,0.124,1.36E-05,0.312,0.546,127.36,138.267,4
466,67,Today,The New Christy Minstrels,None,1964,51LazY4piOq7dw5AARunow,38,0.415,0.242,0,-15.81,1,0.028,0.904,0,0.096,0.364,98.759,163.8,3
