,rank,title,artist,other artists,year,Spotify id,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
31,32,Beyond the Sea,Bobby Darin,None,1960,3KzgdYUlqV6TOG7JCmx2Wg,70,0.521,0.516,2,-7.456,0,0.0369,0.723,0,0.257,0.569,136.483,172.48,4
32,33,"Go, Jimmy, Go",Jimmy Clanton,None,1960,15mwNCoUIJJ1dvtNeSbY7J,15,0.684,0.374,0,-12.037,1,0.0358,0.435,0,0.131,0.846,142.815,126.427,4
33,34,Night,Jackie Wilson,None,1960,0GAXsJkYFTXhw6Rs3QWFBq,20,0.284,0.498,0,-5.534,0,0.0296,0.918,0.00097,0.361,0.327,99.075,169.653,4
34,35,Burning Bridges,Jack Scott,None,1960,4PZ1es22XnUyLAM4GsCIlh,25,0.471,0.25,2,-14.637,1,0.0246,0.8,0.000323,0.124,0.232,82.647,163.467,4
35,36,The Big Hurt,Toni Fisher,None,1960,0QxwQkCU0CjNU86C85wmOz,21,0.511,0.524,1,-14.652,1,0.0395,0.875,0,0.122,0.284,127.444,129.106,4
36,37,Because They're Young,Duane Eddy,None,1960,7ByXEQfb7674aZ8HRWmcKk,14,0.661,0.696,4,-9.532,1,0.0344,0.438,0.929,0.377,0.894,120.704,121.147,4
37,38,Lonely Blue Boy,Conway Twitty,None,1960,555aGlegOjCZVH9ifvf61s,39,0.659,0.342,5,-13.709,1,0.0353,0.777,1.26E-05,0.248,0.677,112.878,135.067,3
38,39,Pretty Blue Eyes,Steve Lawrence,None,1960,7HDyKTm5e7XV6qszYSSlku,43,0.477,0.507,5,-11.802,1,0.0328,0.497,0,0.36,0.864,126.419,114.467,4
39,40,Way Down Yonder in New Orleans,Freddy Cannon,None,1960,7kBvtoy7dyc1CQ2WjfGwdr,23,0.278,0.809,8,-6.068,1,0.057,0.471,0,0.198,0.822,142.635,151.6,4
40,41,Paper Roses,Anita Bryant,None,1960,24B08jOsbAn8ZYVodZRnRC,6,0.304,0.307,7,-9.97,1,0.0314,0.97,0,0.18,0.304,116.618,172.159,4
